condition_name,type,applies_to,enabled,config_knob,config_value,description,applies_to_signals,bypass_reasons,vec_engine_wired
DC_HOPELESS_EXIT,EXIT_SIGNAL,both,N/A,DC_HOPELESS_EXIT_ENABLED,varies,Exit when position is hopeless after min age,CLOSE,none,True
WT_EXHAUST_EXIT,EXIT_SIGNAL,both,N/A,WT_EXHAUST_EXIT_ENABLED,varies,Exit on WT exhaustion signal,CLOSE,none,True
EXHAUSTION_EXIT,EXIT_SIGNAL,both,N/A,EXH_EXIT_ENABLED,varies,Multi-criteria exhaustion exit (K threshold + HTF + basis cross),CLOSE,none,True
FAST_RISER_REDUCE,EXIT_SIGNAL,both,True,ENABLE_FAST_RISER_REDUCE / FAST_RISER_REDUCE_ENABLED,True,Reduce on fast price move (riser) with K3m reversal check,REDUCE,none,True
K1M_EXTREME_REVERSE,EXIT_SIGNAL,crypto,N/A,K1M_EXTREME_REVERSE_ENABLED,varies,Reduce on K 1m extreme reversal,REDUCE,none,False
STRUCTURAL_RANGE_SHIFT,EXIT_SIGNAL,both,N/A,STRUCTURAL_RANGE_SHIFT_EXIT,varies,Exit on structural range shift (K extremes + proximity),CLOSE,none,True
IN_GAIN_TREND_EXIT,EXIT_SIGNAL,both,N/A,IN_GAIN_TREND_EXIT_ENABLED,varies,Exit when in-gain trend reverses at medium/big winner thresholds,CLOSE,none,True
STALL_SUB,EXIT_SIGNAL,both,N/A,STALL_SUB_ENABLED,varies,Exit on stall (velocity below threshold after min age),CLOSE,none,True
NEVER_GO_RED_STOP,EXIT_SIGNAL,both,N/A,NEVER_GO_RED_STOP_ENABLED,varies,Stop that prevents giving back all gains after peak,CLOSE,none,True
PROFIT_TAKE_REDUCE,EXIT_SIGNAL,both,N/A,PROFIT_TAKE_REDUCE_ENABLED,varies,Take partial profit at gain threshold,REDUCE,none,True
DC_BREACH_REDUCE,EXIT_SIGNAL,both,N/A,DC_BREACH_REDUCE_ENABLED,varies,Reduce on DC channel breach,REDUCE,none,True
ATR_TRAIL_EXIT,EXIT_SIGNAL,tradier,False,ATR_TRAIL_2X_EXIT_ENABLED,False,ATR trailing stop exit (DISABLED — #1 stock PnL destroyer),CLOSE,none,True
MTF_ATR_TRAIL,EXIT_SIGNAL,crypto,N/A,MTF_ATR_TRAIL_ENABLED,varies,MTF compound ATR trail exit,CLOSE,bypasses UNIVERSAL_NOLOSS_GATE,True
MTF_DC_REJECT_EXIT,EXIT_SIGNAL,crypto,N/A,MTF_DC_REJECT_EXIT_ENABLED,varies,MTF compound DC reject exit,CLOSE,bypasses UNIVERSAL_NOLOSS_GATE,True
MTF_BB_REJECT_EXIT,EXIT_SIGNAL,crypto,N/A,MTF_BB_REJECT_EXIT_ENABLED,varies,MTF compound BB reject exit,CLOSE,bypasses UNIVERSAL_NOLOSS_GATE,True
MTF_GR_WT_EXIT,EXIT_SIGNAL,crypto,True,MTF_GR_EXIT_GATE_ENABLED,True,MTF compound GR+WT exit,CLOSE,bypasses UNIVERSAL_NOLOSS_GATE,True
MTF_WT_CROSS_EXIT,EXIT_SIGNAL,both,N/A,MTF_WT_CROSS_EXIT_ENABLED,varies,MTF WT cross exit,CLOSE,none,True
RATIO_REDUCE,EXIT_SIGNAL,crypto,True,RATIO_REBALANCE_ENABLED,True,L/S ratio rebalance reduce — close to maintain ratio,REDUCE,none,True
SENTIMENT_BOOST,EXIT_SIGNAL,both,N/A,SENTIMENT_BOOST_ENABLED,varies,Boost (augment) on strong sentiment confirmation,AUGMENT,none,True
HEDGE_BANDAID_OFF,EXIT_SIGNAL,crypto,True,HEDGE_BANDAID_OFF_ENABLED,True,Close hedge when WT 3m flips back to primary direction,CLOSE (hedge),none,False
HEDGE_CLOSE_WT_DC,EXIT_SIGNAL,crypto,True,HEDGE_CLOSE_WT_DC_THRESHOLD,25.0,Close hedge on WT/DC score threshold reached,CLOSE (hedge),none,False
HEDGE_DECAY_NUKE,EXIT_SIGNAL,crypto,True,HEDGE_DECAY_NUKE_ENABLED,True,Force close hedge positions that have decayed,CLOSE (hedge),none,False
PARABOLIC_PROTECTION,EXIT_SIGNAL,tradier,True,PARABOLIC_PROTECTION_ENABLED,True,Parabolic move protection exit for stocks,CLOSE,none,False
EXTREME_OB_OS_OVERRIDE,EXIT_SIGNAL,tradier,True,EXTREME_OB_OS_OVERRIDE_ENABLED,True,Override exit when extreme overbought/oversold,CLOSE,none,False
EOD_FORCE_FLAT,EXIT_SIGNAL,tradier,True (implicit),N/A,N/A,End-of-day force flat — close positions before market close,CLOSE,bypasses HTF_TREND_VETO_ON_REDUCE,False
EOD_SLIM_RATIO,EXIT_SIGNAL,tradier,True,N/A,N/A,End-of-day slim ratio — reduce large positions before close,REDUCE,none,False
DAEMON_REENTRY_STALE_EXIT,EXIT_SIGNAL,crypto,True,DAEMON_REENTRY_STALE_EXIT_ENABLED,True,Close daemon reentry when price crosses back past exit level (premise failed),CLOSE,bypasses UNIVERSAL_NOLOSS_GATE,False
CANDLE_PATTERN_STOPS,EXIT_SIGNAL,both,N/A,IB_STOP_ENABLED / LH_STOP_ENABLED / LL_STOP_ENABLED / PULLBACK_STOP_ENABLED,varies,"Candle pattern stops: inside bar, lower high, lower low, pullback",CLOSE,none,True
TIGHT_BREAKOUT_STOPS,EXIT_SIGNAL,both,N/A,CHANNEL_REENTRY_STOP_ENABLED,varies,Tight breakout stops on reentry channel,CLOSE,none,True
WINNER_PROTECT,EXIT_SIGNAL,both,N/A,WINNER_PROTECT_ENABLED,varies,Protect winning position by tightening stop,CLOSE,none,True
MICRO_SCALP_EXIT,EXIT_SIGNAL,both,True (crypto) / True (tradier),MICRO_SCALP_USDC_MAKER_ENABLED / MICRO_SCALP_STOCKS_MAKER_ENABLED,False (crypto) / True (tradier),Micro scalp exit at small gain threshold,REDUCE,none,True
GR_V5_EXIT,EXIT_SIGNAL,crypto,False,GR_V5_ENABLED,False,Golden Rule V5 exit (breakout+bounce+exit combo),CLOSE,none,True
HEDGE_FAILED_FALLBACK_CLOSE,EXIT_SIGNAL,crypto,True,HEDGE_FAILED_FALLBACK_CLOSE_ENABLED,True,Fallback close when hedge cant be taken,CLOSE,bypasses UNIVERSAL_NOLOSS_GATE,True
OBLIGATORY_HEDGE,EXIT_SIGNAL,crypto,True,OBLIGATORY_HEDGE_ENABLED,True,Obligatory hedge when WT TFs required flip against position,HEDGE,none,False
NEWBORN_PROTECT,EXIT_SIGNAL,both,N/A,NEWBORN_PROTECT_GRACE_SECONDS,varies,Protect newborn positions from premature exits,blocks CLOSE,none,True
EMERGENCY_BRAKE,EXIT_SIGNAL,both,False,LIVE_VEC_EMERGENCY_BRAKE_ENABLED,False,Emergency brake on vec-detected danger signals,CLOSE,none,True
PRICE_CROSS_BACK_EXIT,EXIT_SIGNAL,both,True,PRICE_CROSS_BACK_DIRECTIONAL_ENABLED,True,Exit on price crossing back directionally past exit level,CLOSE,bypasses MTF FILTER,True
WT_4H_VEL_EXIT,EXIT_SIGNAL,crypto,True,N/A,N/A,Exit on WT 4h velocity against position,CLOSE,none,False
UNIVERSAL_NOLOSS_GATE,EXIT_GATE,both,False,UNIVERSAL_NOLOSS_GATE,False,Master gate blocking loss exits. Bypass list allows R1/R2/HEDGE_FAILED/SCALP_V3/RIDICULOUS/ALL_TF_AGAINST/WT15M/DC_BB_D/MTF compound/GR_HTF_DIRECT/FROZEN_ACT_STOP etc.,all exits at loss,See UNIVERSAL_NOLOSS_GATE_BYPASS_REASONS (25+ entries),True
NOLOSS_DC4H_GATE,EXIT_GATE,crypto,True,NOLOSS_DC4H_GATE_ENABLED,True,Never close at loss inside DC_4h channel — hedge instead,CLOSE at loss,none,False
STRICT_NO_LOSS,EXIT_GATE,both,ELIMINATED,STRICT_NO_LOSS_ACCOUNTS,[] (empty),"Former strict no-loss gate — ELIMINATED, replaced by technical exits + hedge",all exits,none,False
STOCK_MIN_HOLD,EXIT_GATE,tradier,True,MIN_HOLD_MINUTES_TRADIER / TRADIER_MIN_HOLD_MINUTES,varies,Minimum hold time before exit allowed for stocks,all exits,none,True
CRYPTO_MIN_HOLD,EXIT_GATE,crypto,True,MIN_HOLD_MINUTES_CRYPTO,varies,Minimum hold time for crypto positions,all exits,none,True
ATR_PARITY_SIZING,SIZING,both,True,ATR_PARITY_USE_DAILY / ATR_PARITY_EQUITY_BASE_USD / ATR_PARITY_QTY_CAP_MULT,varies,ATR-parity position sizing — equalizes risk per trade via daily ATR,all entries,none,True
GOLDEN_RULE_SIZING,SIZING,both,True,GOLDEN_RULE_BASE_USD / GOLDEN_RULE_MULT_*,5.0 / 1.0-3.0,"Golden Rule multi-TF multiplier sizing (15m=1x, 1h=1.5x, 4h=2x, D=3x)",GR entries,none,True
DD_KELLY_SIZING,SIZING,both,N/A,DD_KELLY_ENABLED / DD_KELLY_TIER*_PCT,varies,Drawdown-aware Kelly criterion sizing,all entries,none,True
VOL_TARGET_SIZING,SIZING,both,N/A,VOL_TARGET_ENABLED / VOL_TARGET_PCT,varies,Volatility targeting position size cap,all entries,none,True
RATIO_SIZE,SIZING,crypto,True,RATIO_MULTIPLIER,3.0,L/S ratio sizing — adjusts position size based on long/short ratio,all entries,none,True
LONG_SHORT_SIZE_MULT,SIZING,both,True,LONG_SIZE_MULT / SHORT_SIZE_MULT,varies,Separate size multipliers for long vs short positions,all entries,none,True
TIME_ZONE_SIZING,SIZING,tradier,True,TIME_ZONE_ENABLED,True,Time-of-day zone sizing adjustment,all entries,none,False
BREAKOUT_TF_SIZE,SIZING,crypto,True,BREAKOUT_TF_SIZE_ENABLED,True,Scale position size by breakout timeframe,breakout entries,none,False
