contract_index,field,family,disjoint_vector_tranche,authoritative_type,authoritative_default,authoritative_grid,authoritative_semantics,authoritative_read_site,authoritative_function,parent_gates_or_modes_in_source_window,score_or_gate_composition,required_npz_arrays,required_npz_arrays_basis,side_applicability,npz_data_condition,venue_applicability,timeframe_applicability,read_missing_config_behavior,missing_market_data_behavior,implementation_guard
21,DELTA_ENTRY_SCORE_PENALTY,ENTRY,01_ENTRY_SIGNALS,int,-25,[-25],"Read DELTA_ENTRY_SCORE_PENALTY with authoritative default -25 at ez_positions_quick.py:2398:rate:getattr; apply it only through the cited source statement using PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:2398:rate:getattr,rate,"[""WT_COMPOSITE_HTF_GATE"",""WT_COMPOSITE_SCORING_ENABLED""]",PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""-25"",""source"":""READ_FALLBACK:ez_positions_quick.py:2398"",""value"":-25}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
22,DG_REPEAT_OPEN_PER_DAY_MAX,DG_REPEAT_OPEN,01_ENTRY_SIGNALS,int,60,[60],"Read DG_REPEAT_OPEN_PER_DAY_MAX with authoritative default 60 at tradier_manage.py:18631:_disaster_guard_for_entry:_cfg_auto; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",tradier_manage.py:18631:_disaster_guard_for_entry:_cfg_auto,_disaster_guard_for_entry,[],THRESHOLD_PREDICATE,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""3"",""source"":""READ_FALLBACK:tradier_manage.py:18631"",""value"":3}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
23,ENTRY_MIN_ALIGNMENT,ENTRY,01_ENTRY_SIGNALS,int,5,[5],"Read ENTRY_MIN_ALIGNMENT with authoritative default 5 at tradier_manage.py:18075:execute_trade_action:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",tradier_manage.py:18075:execute_trade_action:getattr,execute_trade_action,"[""TF_FOCUS_ENTRY_HARD_GATE"",""TF_FOCUS_EXIT_HARD_GATE""]",THRESHOLD_PREDICATE,"[""rsi_1h"",""rsi_4h""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""10"",""source"":""READ_FALLBACK:tradier_manage.py:18075"",""value"":10}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
24,ENTRY_VET_NO_STRUCT_OR_BREAKOUT_REQUIRED,ENTRY,01_ENTRY_SIGNALS,bool,True,"[false,true]","Read ENTRY_VET_NO_STRUCT_OR_BREAKOUT_REQUIRED with authoritative default True at ez_manage.py:1148:check_entry_vetting:getattr; apply it only through the cited source statement using PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:1148:check_entry_vetting:getattr,check_entry_vetting,"[""ENTRY_VET_RELAX_MODE""]",PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""True"",""source"":""READ_FALLBACK:ez_manage.py:1148"",""value"":true}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
25,ENTRY_VET_RELAX_MODE,ENTRY,01_ENTRY_SIGNALS,int,1,[1],"Read ENTRY_VET_RELAX_MODE with authoritative default 1 at ez_manage.py:1149:check_entry_vetting:getattr; apply it only through the cited source statement using BOOLEAN_GATE_OR_SIGNAL. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:1149:check_entry_vetting:getattr,check_entry_vetting,[],BOOLEAN_GATE_OR_SIGNAL,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""1 if _ev_legacy else 2"",""source"":""READ_FALLBACK:ez_manage.py:1149"",""value"":""1 if _ev_legacy else 2""}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
26,FORCE_OPEN_REQUIRE_MTF_GR,ENTRY,01_ENTRY_SIGNALS,bool,True,"[false,true]","Read FORCE_OPEN_REQUIRE_MTF_GR with authoritative default True at ez_manage.py:30532:momentum_sma_watchdog_loop:getattr; apply it only through the cited source statement using BOOLEAN_GATE_OR_SIGNAL. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_manage.py:30532:momentum_sma_watchdog_loop:getattr,momentum_sma_watchdog_loop,[],BOOLEAN_GATE_OR_SIGNAL,"[""dc_low_15m"",""dc_low_1h"",""dc_low_4h"",""dc_low_D""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""True"",""source"":""READ_FALLBACK:ez_manage.py:30532"",""value"":true}","{""behavior"":""MATCH_AUTHORITATIVE_SOURCE_FALLBACKS"",""source_fallbacks"":[{""expression"":""0"",""field"":""dc_low_15m""},{""expression"":""0"",""field"":""dc_low_1h""},{""expression"":""0"",""field"":""dc_low_4h""},{""expression"":""0"",""field"":""dc_low_D""}],""vector_requirement"":""Do not substitute zero/hash events; reproduce these fallbacks and validity predicates exactly.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
27,GOLDEN_RULE_ENTRY_TF_LIST,GOLDEN_RULE_ENTRY,01_ENTRY_SIGNALS,List[str],,[],"Read GOLDEN_RULE_ENTRY_TF_LIST with authoritative default None at v12_wide_engine.py:10658:_oat_mask:getattr; apply it only through the cited source statement using BOOLEAN_GATE_OR_SIGNAL. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",v12_wide_engine.py:10658:_oat_mask:getattr,_oat_mask,[],BOOLEAN_GATE_OR_SIGNAL,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""None"",""source"":""READ_FALLBACK:v12_wide_engine.py:10658"",""value"":null}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
28,HEDGE_OPEN_OB_CHECK_ENABLED,HEDGE_OPEN_OB,01_ENTRY_SIGNALS,bool,True,"[false,true]","Read HEDGE_OPEN_OB_CHECK_ENABLED with authoritative default True at ez_positions_quick.py:7563:_execute_same_symbol_hedge_inner:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:7563:_execute_same_symbol_hedge_inner:getattr,_execute_same_symbol_hedge_inner,[],THRESHOLD_PREDICATE,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""True"",""source"":""READ_FALLBACK:ez_positions_quick.py:7563"",""value"":true}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
29,HEDGE_OPEN_OB_IMB_BOUND,HEDGE_OPEN_OB,01_ENTRY_SIGNALS,float,0.65,[0.65],"Read HEDGE_OPEN_OB_IMB_BOUND with authoritative default 0.65 at ez_positions_quick.py:7564:_execute_same_symbol_hedge_inner:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:7564:_execute_same_symbol_hedge_inner:getattr,_execute_same_symbol_hedge_inner,"[""HEDGE_OPEN_OB_CHECK_ENABLED""]",THRESHOLD_PREDICATE,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""0.65"",""source"":""READ_FALLBACK:ez_positions_quick.py:7564"",""value"":0.65}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
30,K3M_CAP_BREAKOUT_BYPASS,ENTRY,01_ENTRY_SIGNALS,bool,True,"[false,true]","Read K3M_CAP_BREAKOUT_BYPASS with authoritative default True at ez_positions_quick.py:2744:rate:getattr; apply it only through the cited source statement using THRESHOLD_PREDICATE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:2744:rate:getattr,rate,[],THRESHOLD_PREDICATE,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""True"",""source"":""READ_FALLBACK:ez_positions_quick.py:2744"",""value"":true}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
31,K_ZONE_ENTRY_BONUS,ENTRY,01_ENTRY_SIGNALS,int,25,[25],"Read K_ZONE_ENTRY_BONUS with authoritative default 25 at ez_positions_quick.py:2870:rate:getattr; apply it only through the cited source statement using PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:2870:rate:getattr,rate,"[""K_ZONE_ENTRY_ENABLED"",""TR_DCWIDTH4H_SHORT_ENABLED"",""TR_MFI4H_LONG_ENABLED""]",PARAMETER_FEEDS_NAMED_SOURCE_FUNCTION,"[""dc_high_4h"",""dc_low_4h""]",LITERAL_DATA_KEYS_IN_AUTHORITATIVE_SOURCE_WINDOW,BOTH,REQUIRED_ARRAYS_LITERAL_SOURCE_KEYS,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""25"",""source"":""READ_FALLBACK:ez_positions_quick.py:2870"",""value"":25}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
32,LEADERBOARD_ENTRY_ENABLED,ENTRY,01_ENTRY_SIGNALS,bool,False,"[false,true]","Read LEADERBOARD_ENTRY_ENABLED with authoritative default False at v12_wide_engine.py:3908:simulate_one_symbol:getattr; apply it only through the cited source statement using BOOLEAN_GATE_OR_SIGNAL. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",v12_wide_engine.py:3908:simulate_one_symbol:getattr,simulate_one_symbol,"[""LAST_RESORT_K_BYPASS_ENABLED"",""LH_HL_FILTER_AUGMENT_GATE_ENABLED""]",BOOLEAN_GATE_OR_SIGNAL,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""False"",""source"":""READ_FALLBACK:v12_wide_engine.py:3908"",""value"":false}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
33,MANDATORY_PRICE_CROSS_EPQ_ENABLED,ENTRY,01_ENTRY_SIGNALS,bool,False,"[false,true]","Read MANDATORY_PRICE_CROSS_EPQ_ENABLED with authoritative default False at v12_wide_engine.py:4083:simulate_one_symbol:getattr; apply it only through the cited source statement using BOOLEAN_GATE_OR_SIGNAL. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",v12_wide_engine.py:4083:simulate_one_symbol:getattr,simulate_one_symbol,"[""MANDATORY_HEDGE_ON_NEGATIVE_ENABLED"",""MANDATORY_REENTRY_WT_FILTER_ENABLED""]",BOOLEAN_GATE_OR_SIGNAL,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""False"",""source"":""READ_FALLBACK:v12_wide_engine.py:4083"",""value"":false}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
34,MI_ENTRY_ENABLED,ENTRY,01_ENTRY_SIGNALS,bool,False,"[false,true]","Read MI_ENTRY_ENABLED with authoritative default False at ez_positions_quick.py:2705:rate:getattr; apply it only through the cited source statement using ADDITIVE_SCORE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:2705:rate:getattr,rate,[],ADDITIVE_SCORE,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""False"",""source"":""READ_FALLBACK:ez_positions_quick.py:2705"",""value"":false}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
35,MI_ENTRY_EXHAUST_BONUS,ENTRY,01_ENTRY_SIGNALS,int,8,[8],"Read MI_ENTRY_EXHAUST_BONUS with authoritative default 8 at ez_positions_quick.py:2708:rate:getattr; apply it only through the cited source statement using ADDITIVE_SCORE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:2708:rate:getattr,rate,"[""MI_ENTRY_ENABLED""]",ADDITIVE_SCORE,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""8"",""source"":""READ_FALLBACK:ez_positions_quick.py:2708"",""value"":8}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
36,MI_ENTRY_STRUCT_BONUS,ENTRY,01_ENTRY_SIGNALS,int,10,[10],"Read MI_ENTRY_STRUCT_BONUS with authoritative default 10 at ez_positions_quick.py:2707:rate:getattr; apply it only through the cited source statement using ADDITIVE_SCORE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:2707:rate:getattr,rate,"[""MI_ENTRY_ENABLED""]",ADDITIVE_SCORE,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""10"",""source"":""READ_FALLBACK:ez_positions_quick.py:2707"",""value"":10}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
37,MOMENTUM_BREAKOUT_ENABLED,ENTRY,01_ENTRY_SIGNALS,bool,False,"[true,false]","Read MOMENTUM_BREAKOUT_ENABLED with authoritative default False at v12_wide_engine.py:6416:simulate_one_symbol:getattr; apply it only through the cited source statement using BOOLEAN_GATE_OR_SIGNAL. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",v12_wide_engine.py:6416:simulate_one_symbol:getattr,simulate_one_symbol,[],BOOLEAN_GATE_OR_SIGNAL,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""False"",""source"":""READ_FALLBACK:v12_wide_engine.py:6416"",""value"":false}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
38,MTF_ARROW_SHORT_ENTRY_ENABLED,MTF_ARROW_SHORT,01_ENTRY_SIGNALS,bool,False,"[false,true]","Read MTF_ARROW_SHORT_ENTRY_ENABLED with authoritative default False at tradier_manage.py:7080:process_position:_cfg; apply it only through the cited source statement using MULTIPLICATIVE_OR_SIZING_PARAMETER. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",tradier_manage.py:7080:process_position:_cfg,process_position,"[""LR_BAND_LADDER_ENABLED""]",MULTIPLICATIVE_OR_SIZING_PARAMETER,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,SHORT,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""False"",""source"":""READ_FALLBACK:tradier_manage.py:7080"",""value"":false}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
39,MTS_ENTRY_QUALITY_BONUS,ENTRY,01_ENTRY_SIGNALS,float,25.0,[25.0],"Read MTS_ENTRY_QUALITY_BONUS with authoritative default 25.0 at ez_positions_quick.py:2699:rate:getattr; apply it only through the cited source statement using ADDITIVE_SCORE. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:2699:rate:getattr,rate,"[""MI_ENTRY_ENABLED""]",ADDITIVE_SCORE,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""25.0"",""source"":""READ_FALLBACK:ez_positions_quick.py:2699"",""value"":25.0}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
40,MTS_ENTRY_QUALITY_MIN,ENTRY,01_ENTRY_SIGNALS,float,8.0,[8.0],"Read MTS_ENTRY_QUALITY_MIN with authoritative default 8.0 at ez_positions_quick.py:2689:rate:getattr; apply it only through the cited source statement using BOOLEAN_GATE_OR_SIGNAL. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:2689:rate:getattr,rate,"[""MTS_GATE_ENABLED""]",BOOLEAN_GATE_OR_SIGNAL,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,BOTH,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""5.0"",""source"":""READ_FALLBACK:ez_positions_quick.py:2689"",""value"":5.0}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
41,MTS_ENTRY_QUALITY_MIN_SHORT,ENTRY,01_ENTRY_SIGNALS,float,5.0,[5.0],"Read MTS_ENTRY_QUALITY_MIN_SHORT with authoritative default 5.0 at ez_positions_quick.py:2692:rate:getattr; apply it only through the cited source statement using BOOLEAN_GATE_OR_SIGNAL. The cited statement/window is the normative semantic evidence; no proxy, hash, or synthetic event is permitted.",ez_positions_quick.py:2692:rate:getattr,rate,"[""MTS_GATE_ENABLED""]",BOOLEAN_GATE_OR_SIGNAL,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",SEMANTIC_FAMILY_ARRAY_PATTERN; VECTOR_IMPLEMENTATION_MUST_BIND_AND_TEST_EXACT_KEYS,SHORT,N/A_DATA_EXACT_KEY_BINDING_UNPROVEN; USE_LISTED_PATTERNS_AND_FAIL_CLOSED,BOTH,"[""ANY_AVAILABLE""]","{""expression"":""0.0"",""source"":""READ_FALLBACK:ez_positions_quick.py:2692"",""value"":0.0}","{""behavior"":""FAIL_CLOSED_UNTIL_ARRAY_BINDING_IS_EXACTLY_PROVEN"",""source_fallbacks"":[],""vector_requirement"":""A missing/non-finite required array must not create a signal or score contribution.""}",NO_SYNTHETIC_HASH_PROXY; EXACT_CAUSAL_SOURCE_TWIN_ONLY
